627166600;(X: 499 | Y: 499);[n, n, t, w, n, t, a]
627166600;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
626166400;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
626166400;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
624166400;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
622165600;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
620165700;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
618165400;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
616163800;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
613163900;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
610163900;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
608162300;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
605162500;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
603161900;(X: 499 | Y: 499);[w, n, n, t, w, n, t, a, t]
601161500;(X: 499 | Y: 499);[n, w, n, n, t, w, n, t, a, t, e]
600160300;(X: 499 | Y: 499);[n, w, n, n, t, w, n, t, a, t, e]
598160300;(X: 499 | Y: 499);[n, w, n, n, t, w, n, t, a, t, e]
